task_id,episode_cluster_id,source_class,window_type,date_from,date_to,reviewer_1,reviewer_2,search_scope_checked,requested_dates_checked,geography_checked,family_audit_checked,coverage_decision,adjudication_status,review_notes,review_action,current_capture_count,selected_file_count,manual_pdf_count,document_review_ids,representative_relative_path
E007_MARAD_onset,E007,MARAD,onset,2019-06-19,2019-07-03,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,10,0,,E007/MARAD/onset/automated_pending/E007_MARAD_onset__Arabian-Gulf/20260913T211257674431Z_s308hg3s/E007_MARAD_onset__Arabian-Gulf.html
E007_UKMTO_WARNING_pre_onset,E007,UKMTO_WARNING,pre_onset,2019-05-20,2019-06-18,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: no selected local file is linked to this task. The recorded completion requires supporting evidence; missing files are not a verified zero.",Coverage review complete,Use allowed coverage decision,0,0,,
E007_UKMTO_WARNING_onset,E007,UKMTO_WARNING,onset,2019-06-19,2019-07-03,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: no selected local file is linked to this task. The recorded completion requires supporting evidence; missing files are not a verified zero.",Coverage review complete,Use allowed coverage decision,0,0,,
E007_UKMTO_ADVISORY_pre_onset,E007,UKMTO_ADVISORY,pre_onset,2019-05-20,2019-06-18,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: no selected local file is linked to this task. The recorded completion requires supporting evidence; missing files are not a verified zero.",Coverage review complete,Use allowed coverage decision,0,0,,
E007_UKMTO_ADVISORY_onset,E007,UKMTO_ADVISORY,onset,2019-06-19,2019-07-03,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: no selected local file is linked to this task. The recorded completion requires supporting evidence; missing files are not a verified zero.",Coverage review complete,Use allowed coverage decision,0,0,,
E007_IUA_JWC_LMA_pre_onset,E007,IUA_JWC_LMA,pre_onset,2019-05-20,2019-06-18,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: the selected current JWLA-034 circular is dated 2026-07-29 and does not substantiate historical listed-area coverage for this window.",Coverage review complete,Use allowed coverage decision,3,0,RV-F8A417075016,E007/IUA_JWC_LMA/pre_onset/automated_pending/E007_IUA_JWC_LMA_pre_onset__page-1/20260913T211707947033Z_ztya1mgf/documents/E007_IUA_JWC_LMA_pre_onset__page-1__document-864b57ce0f.pdf
E007_IUA_JWC_LMA_onset,E007,IUA_JWC_LMA,onset,2019-06-19,2019-07-03,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: the selected current JWLA-034 circular is dated 2026-07-29 and does not substantiate historical listed-area coverage for this window.",Coverage review complete,Use allowed coverage decision,3,0,RV-8335311F8D0F,E007/IUA_JWC_LMA/onset/automated_pending/E007_IUA_JWC_LMA_onset__page-1/20260913T211716002256Z_hd82okf_/documents/E007_IUA_JWC_LMA_onset__page-1__document-864b57ce0f.pdf
E007_GARD_pre_onset,E007,GARD,pre_onset,2019-05-20,2019-06-18,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,45,0,"RV-7D45467EED26, RV-514AC7C3E9FB",E007/GARD/pre_onset/automated_pending/E007_GARD_pre_onset__search-Persian-Gulf/20260913T230214226716Z_us052xnn/E007_GARD_pre_onset__search-Persian-Gulf__document-940c2cb2ca.html
E007_GARD_onset,E007,GARD,onset,2019-06-19,2019-07-03,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,35,0,,E007/GARD/onset/automated_pending/E007_GARD_onset__sitemap/20260913T231938165576Z_6o75bcae/E007_GARD_onset__sitemap__part-1.xml
E027_MARAD_pre_onset,E027,MARAD,pre_onset,2020-12-23,2021-01-21,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,20,0,RV-4354912FE686,E027/MARAD/pre_onset/automated_pending/E027_MARAD_pre_onset__Arabian-Gulf/20260913T211320676817Z_zpi930r4/E027_MARAD_pre_onset__Arabian-Gulf.html
E027_MARAD_onset,E027,MARAD,onset,2021-01-22,2021-02-05,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,10,0,,E027/MARAD/onset/automated_pending/E027_MARAD_onset__Arabian-Gulf/20260913T211354400714Z_ozy4eo93/E027_MARAD_onset__Arabian-Gulf.html
E027_UKMTO_WARNING_pre_onset,E027,UKMTO_WARNING,pre_onset,2020-12-23,2021-01-21,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: no selected local file is linked to this task. The recorded completion requires supporting evidence; missing files are not a verified zero.",Coverage review complete,Use allowed coverage decision,0,0,,
E027_UKMTO_WARNING_onset,E027,UKMTO_WARNING,onset,2021-01-22,2021-02-05,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: no selected local file is linked to this task. The recorded completion requires supporting evidence; missing files are not a verified zero.",Coverage review complete,Use allowed coverage decision,0,0,,
E027_UKMTO_ADVISORY_pre_onset,E027,UKMTO_ADVISORY,pre_onset,2020-12-23,2021-01-21,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: no selected local file is linked to this task. The recorded completion requires supporting evidence; missing files are not a verified zero.",Coverage review complete,Use allowed coverage decision,0,0,,
E027_UKMTO_ADVISORY_onset,E027,UKMTO_ADVISORY,onset,2021-01-22,2021-02-05,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: no selected local file is linked to this task. The recorded completion requires supporting evidence; missing files are not a verified zero.",Coverage review complete,Use allowed coverage decision,0,0,,
E027_IUA_JWC_LMA_pre_onset,E027,IUA_JWC_LMA,pre_onset,2020-12-23,2021-01-21,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: the selected current JWLA-034 circular is dated 2026-07-29 and does not substantiate historical listed-area coverage for this window.",Coverage review complete,Use allowed coverage decision,3,0,RV-CB898FF0B70C,E027/IUA_JWC_LMA/pre_onset/automated_pending/E027_IUA_JWC_LMA_pre_onset__page-1/20260913T211722582462Z_jevetkg8/documents/E027_IUA_JWC_LMA_pre_onset__page-1__document-864b57ce0f.pdf
E027_IUA_JWC_LMA_onset,E027,IUA_JWC_LMA,onset,2021-01-22,2021-02-05,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: the selected current JWLA-034 circular is dated 2026-07-29 and does not substantiate historical listed-area coverage for this window.",Coverage review complete,Use allowed coverage decision,3,0,RV-FECFD5CE8155,E027/IUA_JWC_LMA/onset/automated_pending/E027_IUA_JWC_LMA_onset__page-1/20260913T211729156985Z_x36vdogo/documents/E027_IUA_JWC_LMA_onset__page-1__document-864b57ce0f.pdf
E027_GARD_pre_onset,E027,GARD,pre_onset,2020-12-23,2021-01-21,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,39,0,RV-AF12DC700251,E027/GARD/pre_onset/automated_pending/E027_GARD_pre_onset__sitemap/20260913T232934375327Z_mishrzto/E027_GARD_pre_onset__sitemap__part-1.xml
E027_GARD_onset,E027,GARD,onset,2021-01-22,2021-02-05,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,35,0,,E027/GARD/onset/automated_pending/E027_GARD_onset__sitemap/20260913T233926806763Z_te63trk8/E027_GARD_onset__sitemap__part-1.xml
E029_MARAD_pre_onset,E029,MARAD,pre_onset,2021-02-05,2021-03-06,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,20,0,RV-8B1D718113ED,E029/MARAD/pre_onset/automated_pending/E029_MARAD_pre_onset__Arabian-Gulf/20260913T211411209749Z_iwsxag6m/E029_MARAD_pre_onset__Arabian-Gulf.html
E029_MARAD_onset,E029,MARAD,onset,2021-03-07,2021-03-21,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,10,0,,E029/MARAD/onset/automated_pending/E029_MARAD_onset__Arabian-Gulf/20260913T211446925151Z_wtk42jz0/E029_MARAD_onset__Arabian-Gulf.html
E029_UKMTO_WARNING_pre_onset,E029,UKMTO_WARNING,pre_onset,2021-02-05,2021-03-06,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: no selected local file is linked to this task. The recorded completion requires supporting evidence; missing files are not a verified zero.",Coverage review complete,Use allowed coverage decision,0,0,,
E029_UKMTO_WARNING_onset,E029,UKMTO_WARNING,onset,2021-03-07,2021-03-21,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: no selected local file is linked to this task. The recorded completion requires supporting evidence; missing files are not a verified zero.",Coverage review complete,Use allowed coverage decision,0,0,,
E029_UKMTO_ADVISORY_pre_onset,E029,UKMTO_ADVISORY,pre_onset,2021-02-05,2021-03-06,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: no selected local file is linked to this task. The recorded completion requires supporting evidence; missing files are not a verified zero.",Coverage review complete,Use allowed coverage decision,0,0,,
E029_UKMTO_ADVISORY_onset,E029,UKMTO_ADVISORY,onset,2021-03-07,2021-03-21,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: no selected local file is linked to this task. The recorded completion requires supporting evidence; missing files are not a verified zero.",Coverage review complete,Use allowed coverage decision,0,0,,
E029_IUA_JWC_LMA_pre_onset,E029,IUA_JWC_LMA,pre_onset,2021-02-05,2021-03-06,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: the selected current JWLA-034 circular is dated 2026-07-29 and does not substantiate historical listed-area coverage for this window.",Coverage review complete,Use allowed coverage decision,3,0,RV-A7A0A49170DC,E029/IUA_JWC_LMA/pre_onset/automated_pending/E029_IUA_JWC_LMA_pre_onset__page-1/20260913T211735641036Z_ztw00cs7/documents/E029_IUA_JWC_LMA_pre_onset__page-1__document-864b57ce0f.pdf
E029_IUA_JWC_LMA_onset,E029,IUA_JWC_LMA,onset,2021-03-07,2021-03-21,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: the selected current JWLA-034 circular is dated 2026-07-29 and does not substantiate historical listed-area coverage for this window.",Coverage review complete,Use allowed coverage decision,3,0,RV-C424C27B1A6F,E029/IUA_JWC_LMA/onset/automated_pending/E029_IUA_JWC_LMA_onset__page-1/20260913T211742198268Z__b6ap7qu/documents/E029_IUA_JWC_LMA_onset__page-1__document-864b57ce0f.pdf
E029_GARD_pre_onset,E029,GARD,pre_onset,2021-02-05,2021-03-06,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,35,0,,E029/GARD/pre_onset/automated_pending/E029_GARD_pre_onset__sitemap/20260913T234926684276Z_ordhbnbh/E029_GARD_pre_onset__sitemap__part-1.xml
E029_GARD_onset,E029,GARD,onset,2021-03-07,2021-03-21,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,35,0,,E029/GARD/onset/automated_pending/E029_GARD_onset__sitemap/20260913T235926270709Z_ztms99_h/E029_GARD_onset__sitemap__part-1.xml
E031_MARAD_pre_onset,E031,MARAD,pre_onset,2024-01-29,2024-02-27,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,10,0,,E031/MARAD/pre_onset/automated_pending/E031_MARAD_pre_onset__Arabian-Gulf/20260913T211506779831Z_tzd76_eg/E031_MARAD_pre_onset__Arabian-Gulf.html
E031_MARAD_onset,E031,MARAD,onset,2024-02-28,2024-03-13,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,10,0,,E031/MARAD/onset/automated_pending/E031_MARAD_onset__Arabian-Gulf/20260913T211526493266Z_e7diyuh6/E031_MARAD_onset__Arabian-Gulf.html
E031_UKMTO_WARNING_pre_onset,E031,UKMTO_WARNING,pre_onset,2024-01-29,2024-02-27,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,37,35,"RV-43C1723C8CAB, RV-8AC73246006C, RV-46E924871C5D, RV-A847035D1CC3, RV-F3E79B58013E, RV-E0E0FD6E1B8C, RV-702CB736DE69, RV-C05624C7F774, RV-05E21F0DB85E, RV-F9B8FE86F673, RV-40C0831265F8, RV-F9B6C59B1F62, RV-B0CF65E236E8, RV-B52A14B7725C, RV-85F8EDADE6F1, RV-9D1C726C7C47, RV-A98082097223, RV-092E6656620C, RV-9826A938B89C, RV-F8C8AD6EAB38, RV-8D3F63041973, RV-47FEC8C75018, RV-9003CFD4A976, RV-44498651F11B, RV-BA4E9C2F3BF9, RV-BE3A3E2BF743, RV-78AA9B2787CF, RV-1D92BEE291E7, RV-E2D09DEDDE49, RV-1566112BF8F2, RV-A0D99E65DDC0, RV-696FE3998164",E031/UKMTO_WARNING/pre_onset/20240129 UKMTO WARNING INCIDENT 024.pdf
E031_UKMTO_WARNING_onset,E031,UKMTO_WARNING,onset,2024-02-28,2024-03-13,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,21,21,"RV-17AA4281AAA2, RV-7F4B26B556E7, RV-CD299AC300CD, RV-C4D59CDD06CA, RV-09249803DDFA, RV-2B5435A23E08, RV-FD1713D4576B, RV-0D5A47F3816A, RV-1BB864F2EE4E, RV-5B9F0906B88A, RV-E19BC562EF7E, RV-AAAD83E9821B, RV-CD149B75E37D, RV-FF1C6B0F8F5E, RV-38518EED79B0, RV-13B6B8160C87, RV-4E4FBB62D65B",E031/UKMTO_WARNING/onset/20240302 UKMTO WARNING INCIDENT 032 UPDATE 004 (1).pdf
E031_UKMTO_ADVISORY_pre_onset,E031,UKMTO_ADVISORY,pre_onset,2024-01-29,2024-02-27,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,10,10,"RV-EBE21A9CBAE9, RV-BBB458FCDDEB, RV-B1611E348579, RV-3BB4D32C8E0D, RV-7FB789D8FB8A, RV-D8ED2075B2D7, RV-4FE7F52BD82E, RV-BAB90C0C716E",E031/UKMTO_ADVISORY/pre_onset/20240130 UKMTO ADVISORY INCIDENT  025.pdf
E031_UKMTO_ADVISORY_onset,E031,UKMTO_ADVISORY,onset,2024-02-28,2024-03-13,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,4,4,"RV-3D8E7F305005, RV-BCCFA6CEE1F8",E031/UKMTO_ADVISORY/onset/20240302-UKMTO ADVISORY SECURITY NOTIFICATION 022045ZMAR2024.pdf
E031_IUA_JWC_LMA_pre_onset,E031,IUA_JWC_LMA,pre_onset,2024-01-29,2024-02-27,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: the selected current JWLA-034 circular is dated 2026-07-29 and does not substantiate historical listed-area coverage for this window.",Coverage review complete,Use allowed coverage decision,3,0,RV-A17D6DF85B3B,E031/IUA_JWC_LMA/pre_onset/automated_pending/E031_IUA_JWC_LMA_pre_onset__page-1/20260913T211748448740Z_5f0qs8rw/documents/E031_IUA_JWC_LMA_pre_onset__page-1__document-864b57ce0f.pdf
