review_id,episode_cluster_id,window_type,source_class,reviewer_1,reviewer_2,reviewer_1_decision,reviewer_2_decision,adjudication_status,final_document_role,final_signal_family_id,final_is_update,final_parent_family_id,verified_issue_date,verified_publication_date,verified_effective_date,verified_expiry_date,verified_geographic_scope,historical_availability_status,prior_episode_overlap_status,review_action,evidence_id,document_title,evidence_pages,representative_relative_path
RV-AF12DC700251,E027,pre_onset,GARD,R1,R2,agree,agree,accepted,positive_signal,GARD-PERSIAN-GULF-GUIDANCE-2021,False,,,2021-01-06,,,Persian Gulf / Gulf of Oman / Gulf of Aden / Red Sea,unverified,unknown,Resolve historical availability,EV-9A9E4E3FCEEA,"Gard: Maritime security recommendations, Persian Gulf",PDF pp. 1-4,E027/GARD/pre_onset/automated_pending/E027_GARD_pre_onset__search-Gulf-of-Oman/20260913T231954572757Z_r8e0wgu6/E027_GARD_pre_onset__search-Gulf-of-Oman__document-a2167037c8.pdf
RV-4354912FE686,E027,pre_onset,MARAD,R1,R2,agree,agree,accepted,positive_signal,MARAD-2021-001A,False,,,,2021-01-05,2021-01-12,Persian Gulf / Strait of Hormuz / Gulf of Oman,unverified,unknown,Verify issue/publication date,EV-23C2296536B6,MARAD 2021-001A,PDF p. 1,E027/MARAD/pre_onset/automated_pending/E027_MARAD_pre_onset__Arabian-Gulf/20260913T211320676817Z_zpi930r4/E027_MARAD_pre_onset__Arabian-Gulf__document-34f9336182.pdf
RV-FECFD5CE8155,E027,onset,IUA_JWC_LMA,R1,R2,agree,agree,accepted,excluded,JWLA-034,False,,2026-07-29,,,,"Regional listed areas, including Persian/Arabian Gulf",not_applicable,not_applicable,Human coding complete,EV-B5D8F0174EBF,JWC JWLA-034 listed areas,PDF p. 1,E006/IUA_JWC_LMA/onset/automated_pending/E006_IUA_JWC_LMA_onset__page-1/20260914T011051137968Z_c6vu9px4/documents/E006_IUA_JWC_LMA_onset__page-1__document-864b57ce0f.pdf
RV-CB898FF0B70C,E027,pre_onset,IUA_JWC_LMA,R1,R2,agree,agree,accepted,excluded,JWLA-034,False,,2026-07-29,,,,"Regional listed areas, including Persian/Arabian Gulf",not_applicable,not_applicable,Human coding complete,EV-B5D8F0174EBF,JWC JWLA-034 listed areas,PDF p. 1,E006/IUA_JWC_LMA/onset/automated_pending/E006_IUA_JWC_LMA_onset__page-1/20260914T011051137968Z_c6vu9px4/documents/E006_IUA_JWC_LMA_onset__page-1__document-864b57ce0f.pdf
RV-8B1D718113ED,E029,pre_onset,MARAD,R1,R2,agree,agree,accepted,positive_signal,MARAD-2021-003A,False,,,,2021-02-26,2021-03-05,Persian Gulf / Strait of Hormuz / Gulf of Oman,unverified,unknown,Verify issue/publication date,EV-FA2D04B9BCF1,MARAD 2021-003A,PDF p. 1,E029/MARAD/pre_onset/automated_pending/E029_MARAD_pre_onset__Arabian-Gulf/20260913T211411209749Z_iwsxag6m/E029_MARAD_pre_onset__Arabian-Gulf__document-a7ef08fdfd.pdf
RV-C424C27B1A6F,E029,onset,IUA_JWC_LMA,R1,R2,agree,agree,accepted,excluded,JWLA-034,False,,2026-07-29,,,,"Regional listed areas, including Persian/Arabian Gulf",not_applicable,not_applicable,Human coding complete,EV-B5D8F0174EBF,JWC JWLA-034 listed areas,PDF p. 1,E006/IUA_JWC_LMA/onset/automated_pending/E006_IUA_JWC_LMA_onset__page-1/20260914T011051137968Z_c6vu9px4/documents/E006_IUA_JWC_LMA_onset__page-1__document-864b57ce0f.pdf
RV-A7A0A49170DC,E029,pre_onset,IUA_JWC_LMA,R1,R2,agree,agree,accepted,excluded,JWLA-034,False,,2026-07-29,,,,"Regional listed areas, including Persian/Arabian Gulf",not_applicable,not_applicable,Human coding complete,EV-B5D8F0174EBF,JWC JWLA-034 listed areas,PDF p. 1,E006/IUA_JWC_LMA/onset/automated_pending/E006_IUA_JWC_LMA_onset__page-1/20260914T011051137968Z_c6vu9px4/documents/E006_IUA_JWC_LMA_onset__page-1__document-864b57ce0f.pdf
RV-EBE21A9CBAE9,E031,pre_onset,UKMTO_ADVISORY,R1,R2,agree,agree,accepted,positive_signal,UKMTO-INCIDENT-038-2024,False,,2024-02-23,,,,"175 NM east of Qalhat LNG terminal, Oman; reported position 22°12′08″N 63°00′34″E",unverified,clear,Resolve historical availability,EV-DD3082A47F31,UKMTO Advisory Incident 038,PDF p. 1,E031/UKMTO_ADVISORY/pre_onset/20240223-UKMTO ADVISORY  038 FEB 24.pdf
RV-BBB458FCDDEB,E031,pre_onset,UKMTO_ADVISORY,R1,R2,agree,agree,accepted,positive_signal,UKMTO-INCIDENT-040-2024,False,,2024-02-25,,,,"20 NM east of Khor Fakkan, UAE / Gulf of Oman",unverified,clear,Resolve historical availability,EV-8CAE9A61CE46,UKMTO Advisory Incident 040,PDF p. 1,E031/UKMTO_ADVISORY/pre_onset/20240225-ADVISORY INCIDENT 040.pdf
RV-B1611E348579,E031,pre_onset,UKMTO_ADVISORY,R1,R2,agree,agree,accepted,positive_signal,UKMTO-INCIDENT-041-2024,False,,2024-02-27,,,,"40 NM southeast of Mubarak Al Kabeer, Kuwait / Persian Gulf (initial location)",unverified,clear,Resolve historical availability,EV-272FC149DD08,UKMTO Advisory Incident 041,PDF p. 1,E031/UKMTO_ADVISORY/pre_onset/20240227 UKMTO ADVISORY INCIDENT 041.pdf
RV-3BB4D32C8E0D,E031,pre_onset,UKMTO_ADVISORY,R1,R2,agree,agree,accepted,update,UKMTO-INCIDENT-041-2024,True,UKMTO-INCIDENT-041-2024,2024-02-27,,,,"90 NM east of Ras Al Misham, Saudi Arabia / Persian Gulf (corrected location)",unverified,clear,Resolve historical availability,EV-1CB459B1F841,UKMTO Advisory Incident 041 Update 001,PDF p. 1,E031/UKMTO_ADVISORY/pre_onset/20240227 UKMTO ADVISORY INCIDENT 041 - UPDATE 001.pdf
RV-D11A04058527,E031,pre_onset,GARD,R1,R2,agree,agree,accepted,excluded,GARD-RED-SEA-CANCELLATION-2024,False,,2024-02-14,,2024-02-20,,Indian Ocean / Gulf of Aden / Southern Red Sea exclusion polygon,not_applicable,not_applicable,Human coding complete,EV-206D346F3F2A,Gard 19/2023: Notice of cancellation for war risks,"PDF pp. 1, 3-5",E031/GARD/pre_onset/automated_pending/E031_GARD_pre_onset__search-war-risk/20260914T000405120896Z_r5po83mg/E031_GARD_pre_onset__search-war-risk__document-b28fdbe1a6.pdf
RV-2F011AC5CE80,E031,pre_onset,GARD,R1,R2,agree,agree,accepted,excluded,GARD-RED-SEA-CANCELLATION-2024,True,GARD-RED-SEA-CANCELLATION-2024,,,2024-02-20,,Indian Ocean / Gulf of Aden / Southern Red Sea,not_applicable,not_applicable,Human coding complete,EV-6C2CE69DC9FC,Gard 20/2023: Red Sea crew cover extension,PDF pp. 1-3,E031/GARD/pre_onset/automated_pending/E031_GARD_pre_onset__search-war-risk/20260914T000405120896Z_r5po83mg/E031_GARD_pre_onset__search-war-risk__document-21e9b063db.pdf
RV-DA18241A8EBD,E031,pre_onset,GARD,R1,R2,agree,agree,accepted,excluded,GARD-RED-SEA-CANCELLATION-2024,True,GARD-RED-SEA-CANCELLATION-2024,,,,,Indian Ocean / Gulf of Aden / Southern Red Sea,not_applicable,not_applicable,Human coding complete,EV-4E605B65C075,Gard 21/2023: Red Sea charterers buyback,PDF pp. 1-3,E031/GARD/pre_onset/automated_pending/E031_GARD_pre_onset__search-war-risk/20260914T000405120896Z_r5po83mg/E031_GARD_pre_onset__search-war-risk__document-07102edbcb.pdf
RV-BE3C8E2FC4FA,E031,onset,GARD,R1,R2,agree,agree,accepted,methodology,GARD-RED-SEA-INSURANCE-COMMENTARY-2024,False,,,2024-02-28,,,Red Sea; wider insurance/legal context,not_applicable,not_applicable,Human coding complete,EV-839383EC1442,Gard: Red Sea war risks and insurance implications,PDF pp. 1-11,E031/GARD/onset/automated_pending/E031_GARD_onset__search-war-risk/20260914T001409183872Z_vtgl37ir/E031_GARD_onset__search-war-risk__document-eaa262e4fd.pdf
RV-79C4A2700C88,E031,pre_onset,GARD,R1,R2,agree,agree,accepted,excluded,GARD-POLAR-COMMENTARY-2024,False,,,,,,"Historical case law, not a new Hormuz event",not_applicable,not_applicable,Human coding complete,EV-10BFDAA819E8,Gard: The Polar legal commentary,PDF pp. 1-10,E031/GARD/pre_onset/automated_pending/E031_GARD_pre_onset__search-Iran/20260914T000047225784Z_sw9z27xj/E031_GARD_pre_onset__search-Iran__document-5839153848.pdf
RV-585CFC4A9CA4,E031,onset,IUA_JWC_LMA,R1,R2,agree,agree,accepted,excluded,JWLA-034,False,,2026-07-29,,,,"Regional listed areas, including Persian/Arabian Gulf",not_applicable,not_applicable,Human coding complete,EV-B5D8F0174EBF,JWC JWLA-034 listed areas,PDF p. 1,E006/IUA_JWC_LMA/onset/automated_pending/E006_IUA_JWC_LMA_onset__page-1/20260914T011051137968Z_c6vu9px4/documents/E006_IUA_JWC_LMA_onset__page-1__document-864b57ce0f.pdf
RV-A17D6DF85B3B,E031,pre_onset,IUA_JWC_LMA,R1,R2,agree,agree,accepted,excluded,JWLA-034,False,,2026-07-29,,,,"Regional listed areas, including Persian/Arabian Gulf",not_applicable,not_applicable,Human coding complete,EV-B5D8F0174EBF,JWC JWLA-034 listed areas,PDF p. 1,E006/IUA_JWC_LMA/onset/automated_pending/E006_IUA_JWC_LMA_onset__page-1/20260914T011051137968Z_c6vu9px4/documents/E006_IUA_JWC_LMA_onset__page-1__document-864b57ce0f.pdf
RV-7FB789D8FB8A,E031,pre_onset,UKMTO_ADVISORY,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-025-2024,False,,2024-01-30,,,,Yemen,not_applicable,not_applicable,Human coding complete,EV-01B554B66A53,UKMTO Advisory Incident 025,PDF p. 1,E031/UKMTO_ADVISORY/pre_onset/20240130 UKMTO ADVISORY INCIDENT  025.pdf
RV-D8ED2075B2D7,E031,pre_onset,UKMTO_ADVISORY,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-025-2024,True,UKMTO-INCIDENT-025-2024,2024-01-30,,,,Yemen,not_applicable,not_applicable,Human coding complete,EV-AA3290EA90A5,UKMTO Advisory Incident 025 Update 001,PDF p. 1,E031/UKMTO_ADVISORY/pre_onset/20240130 UKMTO ADVISORY INCIDENT 025 UPDATE 001.pdf
RV-3D8E7F305005,E031,onset,UKMTO_ADVISORY,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-043-2024,False,,2024-03-02,,,,Somalia,not_applicable,not_applicable,Human coding complete,EV-A8EDCF2B6EDA,UKMTO Advisory Incident 043,PDF p. 1,E031/UKMTO_ADVISORY/onset/20240302-UKMTO ADVISORY SECURITY NOTIFICATION 022045ZMAR2024.pdf
RV-BCCFA6CEE1F8,E031,onset,UKMTO_ADVISORY,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-045-2024,False,,2024-03-06,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-30EFD9FAE366,UKMTO Advisory Incident 045,PDF p. 1,E031/UKMTO_ADVISORY/onset/20240306-ADVISORY INCIDENT 045.pdf
RV-4FE7F52BD82E,E031,pre_onset,UKMTO_ADVISORY,R1,R2,agree,agree,accepted,excluded,UKMTO-SECURITY-NOTIFICATION-2024-02-02,False,,2024-02-02,,,,Yemen,not_applicable,not_applicable,Human coding complete,EV-9D66DE4305CB,UKMTO Advisory Incident UNRESOLVED,PDF p. 1,E031/UKMTO_ADVISORY/pre_onset/20240202 UKMTO ADVISORY 022100ZFEB2024.pdf
RV-BAB90C0C716E,E031,pre_onset,UKMTO_ADVISORY,R1,R2,agree,agree,accepted,excluded,UKMTO-SECURITY-NOTIFICATION-2024-02-21,False,,2024-02-21,,,,Yemen,not_applicable,not_applicable,Human coding complete,EV-FB4B9EDC4D0E,UKMTO Advisory Incident UNRESOLVED,PDF p. 1,E031/UKMTO_ADVISORY/pre_onset/20240221 UKMTO ADVISORY 210035ZFEB2024.pdf
RV-43C1723C8CAB,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-024-2024,False,,2024-01-29,,,,Yemen / Mukha,not_applicable,not_applicable,Human coding complete,EV-7313D2C30AA6,UKMTO Warning Incident 024,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240129 UKMTO WARNING INCIDENT 024.pdf
RV-8AC73246006C,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-026-2024,False,,2024-02-01,,,,Yemen,not_applicable,not_applicable,Human coding complete,EV-4D7DEAC1291F,UKMTO Warning Incident 026,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240201 UKMTO WARNING INCIDENT 026.pdf
RV-46E924871C5D,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-026-2024,True,UKMTO-INCIDENT-026-2024,2024-02-01,,,,Yemen,not_applicable,not_applicable,Human coding complete,EV-B36B139D33E3,UKMTO Warning Incident 026 Update 001,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240201 UKMTO WARNING INCIDENT 026 UPDATE 001.pdf
RV-A847035D1CC3,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-027-2024,False,,2024-02-06,,,,Yemen,not_applicable,not_applicable,Human coding complete,EV-04E2B178ED7E,UKMTO Warning Incident 027,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240201 UKMTO WARNING INCIDENT 027.pdf
RV-F3E79B58013E,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-027-2024,True,UKMTO-INCIDENT-027-2024,2024-02-06,,,,Yemen,not_applicable,not_applicable,Human coding complete,EV-BB8DA7C8802F,UKMTO Warning Incident 027 Update 001,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240201 UKMTO WARNING INCIDENT 027 Update 001.pdf
RV-E0E0FD6E1B8C,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-028-2024,False,,2024-02-06,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-34AF4C8BA77B,UKMTO Warning Incident 028,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240206-UKMTO WARNING INCIDENT 028 (1).pdf
RV-702CB736DE69,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-028-2024,True,UKMTO-INCIDENT-028-2024,2024-02-06,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-0EEFEB23B750,UKMTO Warning Incident 028 Update 001,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240206 UKMTO WARNING INCIDENT 028 UPDATE 01.pdf
RV-C05624C7F774,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-029-2024,False,,2024-02-12,,,,Yemen / Mukha,not_applicable,not_applicable,Human coding complete,EV-973ECF78FF14,UKMTO Warning Incident 029,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240212 UKMTO WARNING INCIDENT FLASH 029 ATTACK.pdf
RV-05E21F0DB85E,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-029-2024,True,UKMTO-INCIDENT-029-2024,2024-02-12,,,,Yemen / Mukha,not_applicable,not_applicable,Human coding complete,EV-3C4318B234B4,UKMTO Warning Incident 029 Update 001,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240212 UKMTO WARNING INCIDENT 029  ATTACK UPDATE 001.pdf
RV-F9B8FE86F673,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-029-2024,True,UKMTO-INCIDENT-029-2024,2024-02-12,,,,Yemen / Mukha,not_applicable,not_applicable,Human coding complete,EV-B899F958D0A5,UKMTO Warning Incident 029 Update 002,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240212 UKMTO WARNING INCIDENT 029  ATTACK UPDATE 002.pdf
RV-40C0831265F8,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-030-2024,False,,2024-02-15,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-D0FA72BFAEA9,UKMTO Warning Incident 030,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240215 UKMTO WARNING INCIDENT 30.pdf
RV-F9B6C59B1F62,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-030-2024,True,UKMTO-INCIDENT-030-2024,2024-02-15,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-4431A7C30960,UKMTO Warning Incident 030 Update 001,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240215 UKMTO WARNING INCIDENT 30 UPDATE 001.pdf
RV-B0CF65E236E8,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-031-2024,False,,2024-02-16,,,,Yemen / Mukha,not_applicable,not_applicable,Human coding complete,EV-CB309B8132C5,UKMTO Warning Incident 031,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240216UKMTO WARNING INCIDENT 031docx.pdf
RV-B52A14B7725C,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-031-2024,True,UKMTO-INCIDENT-031-2024,2024-02-16,,,,Yemen / Mukha,not_applicable,not_applicable,Human coding complete,EV-CA946F60617E,UKMTO Warning Incident 031 Update 001,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240216-UKMTO WARNING INCIDENT 031 Update 001.pdf
RV-85F8EDADE6F1,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-032-2024,False,,2024-02-18,,,,Yemen / Mukha,not_applicable,not_applicable,Human coding complete,EV-1E0A25D0830A,UKMTO Warning Incident 032,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240218 UKMTO WARNING INCIDENT 032.pdf
RV-9D1C726C7C47,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-032-2024,True,UKMTO-INCIDENT-032-2024,2024-02-18,,,,Yemen / Mukha,not_applicable,not_applicable,Human coding complete,EV-4D75D9F98DB5,UKMTO Warning Incident 032 Update 001,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240218 UKMTO WARNING INCIDENT 032 UPDATE 001.pdf
RV-A98082097223,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-032-2024,True,UKMTO-INCIDENT-032-2024,2024-02-19,,,,Yemen / Mukha,not_applicable,not_applicable,Human coding complete,EV-8E09CA44A6E0,UKMTO Warning Incident 032 Update 002,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240219 UKMTO WARNING INCIDENT 032 UPDATE 002.pdf
RV-092E6656620C,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-032-2024,True,UKMTO-INCIDENT-032-2024,2024-02-19,,,,Yemen / Mukha,not_applicable,not_applicable,Human coding complete,EV-3F0F90934B56,UKMTO Warning Incident 032 Update 003,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240219 UKMTO WARNING 032 UPDATE 003.pdf
RV-17AA4281AAA2,E031,onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-032-2024,True,UKMTO-INCIDENT-032-2024,2024-03-02,,,,Yemen / Mukha,not_applicable,not_applicable,Human coding complete,EV-42B183112FE9,UKMTO Warning Incident 032 Update 004,PDF p. 1,E031/UKMTO_WARNING/onset/20240302 UKMTO WARNING INCIDENT 032 UPDATE 004 (1).pdf
RV-9826A938B89C,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-033-2024,False,,2024-02-19,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-5D5239D3A491,UKMTO Warning Incident 033,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240219-UKMTO WARNING INCIDENT 033.pdf
RV-F8C8AD6EAB38,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-033-2024,True,UKMTO-INCIDENT-033-2024,2024-02-19,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-1BF94067D3A0,UKMTO Warning Incident 033 Update 001,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240219-UKMTO WARNING INCIDENT 033 UPDATE 001.pdf
RV-8D3F63041973,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-033-2024,True,UKMTO-INCIDENT-033-2024,2024-02-19,,,,Yemen / Aden,not_applicable,not_applicable,Human coding complete,EV-165408249C7C,UKMTO Warning Incident 033 Update 002,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240219-UKMTO WARNING INCIDENT 033 UPDATE 002.pdf
RV-47FEC8C75018,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-034-2024,False,,2024-02-19,,,,Jizan,not_applicable,not_applicable,Human coding complete,EV-1596B7CF86B2,UKMTO Warning Incident 034,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240219 UKMTO WARNING INCIDENT 034.pdf
RV-9003CFD4A976,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-034-2024,True,UKMTO-INCIDENT-034-2024,2024-02-19,,,,Jizan,not_applicable,not_applicable,Human coding complete,EV-D939602914EA,UKMTO Warning Incident 034 Update 001,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240219 UKMTO WARNING INCIDENT 034 UPDATE 001.pdf
RV-44498651F11B,E031,pre_onset,UKMTO_WARNING,R1,R2,agree,agree,accepted,excluded,UKMTO-INCIDENT-035-2024,False,,2024-02-19,,,,Djibouti,not_applicable,not_applicable,Human coding complete,EV-223492322564,UKMTO Warning Incident 035,PDF p. 1,E031/UKMTO_WARNING/pre_onset/20240219 UKMTO WARNING INCIDENT 035.pdf
